measurement,sample,metabolite,isotopologue,natural_fraction,measured_fraction
7651.59041,HEK_Wt_QC1_1x_split2_inj1,ru5p,m1,0.05575171712032562,0.053848484794110134
974793.4606,HEK_Wt_QC3_1x_split2_inj1,pep,m0,0.9655758950267292,0.9671057753911331
33155.70629,HEK_Wt_QC3_1x_split2_inj1,pep,m1,0.0344241049732707,0.03289422460886697
60741059.14,HEK_Wt_QC3_1x_split2_inj2,icit,m0,0.9207720772077208,0.9204115924920984
4186647.1159,HEK_Wt_QC3_1x_split2_inj2,icit,m1,0.06351635163516352,0.06344042388635848
1033762.16071,HEK_Wt_QC3_1x_split2_inj2,icit,m2,0.014791479147914793,0.015664637562610068
31897.633396,HEK_Wt_QC3_1x_split2_inj2,icit,m3,0.0009200920092009201,0.00048334605893310243
363965.8601,HEK_Wt_QC3_1x_split1_inj1,f6p,m0,0.9167859968156374,0.9246945708811609
24060.236381,HEK_Wt_QC3_1x_split1_inj1,f6p,m1,0.06470865085166679,0.06112762869988775
5580.47542,HEK_Wt_QC3_1x_split1_inj1,f6p,m2,0.018505352332695794,0.014177800418951343
0.0,HEK_Wt_QC1_1x_split1_v2_inj4,dhap,m0,0.9652721529240239,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj4,dhap,m1,0.03472784707597602,NaN
200319.4186,HEK_Wt_QC2_1x_split1_inj2,dhap,m0,0.9652721529240239,0.9662908762567702
6988.156709,HEK_Wt_QC2_1x_split1_inj2,dhap,m1,0.03472784707597602,0.03370912374322974
452093.2121,HEK_Wt_QC3_1x_split2_inj2,r5p,m0,0.9442482828796744,0.9641571146886132
16806.72673,HEK_Wt_QC3_1x_split2_inj2,r5p,m1,0.05575171712032562,0.035842885311386845
222699.737,HEK_Wt_QC2_1x_split1_inj1,f6p,m0,0.9167859968156374,0.9214139830747473
13817.086623,HEK_Wt_QC2_1x_split1_inj1,f6p,m1,0.06470865085166679,0.05716781255016587
5176.64,HEK_Wt_QC2_1x_split1_inj1,f6p,m2,0.018505352332695794,0.02141820437508671
49588.22275,HEK_Wt_QC2_1x_split1_v2_inj3,cit,m0,0.9207720772077208,0.9215771309732247
4219.777778,HEK_Wt_QC2_1x_split1_v2_inj3,cit,m1,0.06351635163516352,0.07842286902677528
0.0,HEK_Wt_QC2_1x_split1_v2_inj3,cit,m2,0.014791479147914793,0.0
0.0,HEK_Wt_QC2_1x_split1_v2_inj3,cit,m3,0.0009200920092009201,0.0
2186793.178,HEK_Wt_QC3_1x_split2_inj1,succ,m0,0.948170304715792,0.9396079515977851
122066.8496,HEK_Wt_QC3_1x_split2_inj1,succ,m1,0.04345651347512055,0.052448939234184366
18486.36648,HEK_Wt_QC3_1x_split2_inj1,succ,m2,0.008373181809087452,0.007943109168030685
2669767.677,HEK_Wt_QC3_1x_split1_inj2,fdp,m0,0.908819088190882,0.9396750335622336
124698.7437,HEK_Wt_QC3_1x_split1_inj2,fdp,m1,0.06539065390653906,0.0438900722264853
37629.54388,HEK_Wt_QC3_1x_split1_inj2,fdp,m2,0.023900239002390026,0.013244426926354812
5079.708359,HEK_Wt_QC3_1x_split1_inj2,fdp,m3,0.0016000160001600017,0.001787899060974991
3984.921569,HEK_Wt_QC3_1x_split1_inj2,fdp,m4,0.0002900029000290003,0.0014025682239514744
52265878.31,HEK_Wt_QC3_1x_split1_inj1,cit,m0,0.9207720772077208,0.8630232959882511
6701247.776000001,HEK_Wt_QC3_1x_split1_inj1,cit,m1,0.06351635163516352,0.11065217173956754
1505056.22623,HEK_Wt_QC3_1x_split1_inj1,cit,m2,0.014791479147914793,0.024851750836456066
89193.670269,HEK_Wt_QC3_1x_split1_inj1,cit,m3,0.0009200920092009201,0.0014727814357252242
0.0,HEK_Wt_QC3_1x_split1_v2_inj4,f6p,m0,0.9167859968156374,NaN
0.0,HEK_Wt_QC3_1x_split1_v2_inj4,f6p,m1,0.06470865085166679,NaN
0.0,HEK_Wt_QC3_1x_split1_v2_inj4,f6p,m2,0.018505352332695794,NaN
0.0,HEK_Wt_QC3_1x_split1_v2_inj4,dhap,m0,0.9652721529240239,NaN
0.0,HEK_Wt_QC3_1x_split1_v2_inj4,dhap,m1,0.03472784707597602,NaN
57700769.31,HEK_Wt_QC1_1x_split2_inj1,icit,m0,0.9207720772077208,0.9255093901827011
3710613.5218,HEK_Wt_QC1_1x_split2_inj1,icit,m1,0.06351635163516352,0.059517536747462865
910050.05158,HEK_Wt_QC1_1x_split2_inj1,icit,m2,0.014791479147914793,0.014597030132275396
23444.350777,HEK_Wt_QC1_1x_split2_inj1,icit,m3,0.0009200920092009201,0.00037604293756080253
50879617.57,HEK_Wt_QC1_1x_split1_inj1,cit,m0,0.9207720772077208,0.8962580695094166
4881761.066,HEK_Wt_QC1_1x_split1_inj1,cit,m1,0.06351635163516352,0.08599352663765297
953263.2913299999,HEK_Wt_QC1_1x_split1_inj1,cit,m2,0.014791479147914793,0.016791987794447925
54294.722635,HEK_Wt_QC1_1x_split1_inj1,cit,m3,0.0009200920092009201,0.0009564160584824601
24783.03103,HEK_Wt_QC2_1x_split1_v2_inj3,g6p,m0,0.9167859968156374,0.9280741539384457
1920.687552,HEK_Wt_QC2_1x_split1_v2_inj3,g6p,m1,0.06470865085166679,0.07192584606155435
0.0,HEK_Wt_QC2_1x_split1_v2_inj3,g6p,m2,0.018505352332695794,0.0
3264696.401,HEK_Wt_QC1_1x_split1_inj2,fdp,m0,0.908819088190882,0.9047458422060694
253526.1013,HEK_Wt_QC1_1x_split1_inj2,fdp,m1,0.06539065390653906,0.07025972950245236
88123.83414,HEK_Wt_QC1_1x_split1_inj2,fdp,m2,0.023900239002390026,0.024421772423616633
0.0,HEK_Wt_QC1_1x_split1_inj2,fdp,m3,0.0016000160001600017,0.0
2066.378715,HEK_Wt_QC1_1x_split1_inj2,fdp,m4,0.0002900029000290003,0.0005726558678616223
0.0,HEK_Wt_QC1_1x_split1_v2_inj4,f6p,m0,0.9167859968156374,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj4,f6p,m1,0.06470865085166679,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj4,f6p,m2,0.018505352332695794,NaN
